State,Year,Illiterate,Primary School,Middle School,High School,TotalEducation
Andaman & Nicobar Islands,2001,0,4,12,0,16
Andhra Pradesh,2001,640,683,178,64,1565
Arunachal Pradesh,2001,16,70,39,12,137
Assam,2001,91,88,74,0,253
Bihar,2001,190,253,87,56,586
Chandigarh,2001,12,26,33,0,71
Chhattisgarh,2001,205,748,348,61,1362
Dadra & Nagar Haveli,2001,0,2,0,0,2
Daman & Diu,2001,2,0,0,0,2
Delhi,2001,268,323,228,39,858
Goa,2001,31,19,34,9,93
Gujarat,2001,835,2125,1144,266,4370
Haryana,2001,343,561,879,232,2015
Himachal Pradesh,2001,1,31,69,41,142
Jammu & Kashmir,2001,1,0,1,0,2
Jharkhand,2001,126,114,43,15,298
Karnataka,2001,566,167,91,19,843
Kerala,2001,23,43,59,7,132
Lakshadweep,2001,0,0,0,1,1
Madhya Pradesh,2001,1757,3681,1330,560,7328
Maharashtra,2001,832,2017,1973,168,4990
Manipur,2001,0,0,0,0,0
Meghalaya,2001,39,23,3,1,66
Mizoram,2001,6,23,20,0,49
Nagaland,2001,1,12,12,1,26
Odisha,2001,39,110,51,12,212
Puducherry,2001,0,3,0,0,3
Punjab,2001,10,8,4,7,29
Rajasthan,2001,957,1184,910,194,3245
Sikkim,2001,0,5,12,0,17
Tamil Nadu,2001,855,3516,163,21,4555
Tripura,2001,10,6,2,2,20
Uttar Pradesh,2001,35,85,103,33,256
Uttarakhand,2001,0,0,28,29,57
West Bengal,2001,7,13,7,0,27
Andaman & Nicobar Islands,2002,0,2,4,0,6
Andhra Pradesh,2002,1033,645,291,115,2084
Arunachal Pradesh,2002,41,49,32,10,132
Assam,2002,100,94,120,18,332
Bihar,2002,157,309,118,76,660
Chandigarh,2002,6,18,46,5,75
Chhattisgarh,2002,404,562,409,32,1407
Dadra & Nagar Haveli,2002,0,0,0,0,0
Daman & Diu,2002,0,0,0,0,0
Delhi,2002,397,317,310,168,1192
Goa,2002,25,24,11,8,68
Gujarat,2002,750,1612,843,130,3335
Haryana,2002,424,652,1104,331,2511
Himachal Pradesh,2002,14,37,50,20,121
Jammu & Kashmir,2002,3,0,0,0,3
Jharkhand,2002,194,379,13,160,746
Karnataka,2002,116,92,64,5,277
Kerala,2002,7,53,115,59,234
Lakshadweep,2002,0,0,0,0,0
Madhya Pradesh,2002,3488,2082,2684,282,8536
Maharashtra,2002,759,2185,2133,302,5379
Manipur,2002,0,0,0,0,0
Meghalaya,2002,33,27,8,0,68
Mizoram,2002,4,36,20,0,60
Nagaland,2002,0,2,12,0,14
Odisha,2002,63,69,43,17,192
Puducherry,2002,2,9,5,0,16
Punjab,2002,30,44,73,9,156
Rajasthan,2002,242,1038,617,40,1937
Sikkim,2002,1,1,0,0,2
Tamil Nadu,2002,3004,2893,183,2,6082
Tripura,2002,5,0,2,0,7
Uttar Pradesh,2002,15,32,32,17,96
Uttarakhand,2002,0,1,6,27,34
West Bengal,2002,6,9,2,0,17
Andaman & Nicobar Islands,2003,0,2,7,0,9
Andhra Pradesh,2003,1193,817,513,150,2673
Arunachal Pradesh,2003,69,75,52,0,196
Assam,2003,127,98,73,80,378
Bihar,2003,105,84,77,26,292
Chandigarh,2003,24,14,72,6,116
Chhattisgarh,2003,416,740,423,23,1602
Dadra & Nagar Haveli,2003,0,1,1,0,2
Daman & Diu,2003,0,0,2,0,2
Delhi,2003,380,197,200,25,802
Goa,2003,34,19,27,7,87
Gujarat,2003,613,1375,572,157,2717
Haryana,2003,245,474,997,310,2026
Himachal Pradesh,2003,6,25,63,30,124
Jammu & Kashmir,2003,0,1,17,0,18
Jharkhand,2003,250,210,175,186,821
Karnataka,2003,80,122,104,52,358
Kerala,2003,33,80,288,363,764
Lakshadweep,2003,0,0,0,0,0
Madhya Pradesh,2003,1909,4051,1282,430,7672
Maharashtra,2003,919,2268,1520,363,5070
Manipur,2003,0,0,0,0,0
Meghalaya,2003,15,12,8,0,35
Mizoram,2003,3,35,34,10,82
Nagaland,2003,0,0,1,0,1
Odisha,2003,143,78,77,15,313
Puducherry,2003,2,34,4,0,40
Punjab,2003,83,20,10,19,132
Rajasthan,2003,277,833,700,52,1862
Sikkim,2003,0,17,0,0,17
Tamil Nadu,2003,2605,1764,248,278,4895
Tripura,2003,0,0,0,0,0
Uttar Pradesh,2003,19,12,19,11,61
Uttarakhand,2003,0,0,7,23,30
West Bengal,2003,68,47,8,0,123
Andaman & Nicobar Islands,2004,0,7,6,0,13
Andhra Pradesh,2004,959,648,440,149,2196
Arunachal Pradesh,2004,21,26,23,21,91
Assam,2004,76,108,106,41,331
Bihar,2004,161,51,24,0,236
Chandigarh,2004,42,19,46,2,109
Chhattisgarh,2004,432,780,699,91,2002
Dadra & Nagar Haveli,2004,0,2,2,0,4
Daman & Diu,2004,0,0,0,0,0
Delhi,2004,341,228,298,42,909
Goa,2004,19,18,33,4,74
Gujarat,2004,970,1071,489,159,2689
Haryana,2004,233,394,923,127,1677
Himachal Pradesh,2004,0,22,57,38,117
Jammu & Kashmir,2004,3,6,2,0,11
Jharkhand,2004,248,212,176,186,822
Karnataka,2004,172,147,96,25,440
Kerala,2004,20,98,193,71,382
Lakshadweep,2004,0,0,0,0,0
Madhya Pradesh,2004,2160,3114,1668,491,7433
Maharashtra,2004,859,1984,2291,362,5496
Manipur,2004,0,0,0,0,0
Meghalaya,2004,14,20,18,3,55
Mizoram,2004,349,153,206,110,818
Nagaland,2004,0,3,0,0,3
Odisha,2004,162,125,64,8,359
Puducherry,2004,0,55,0,0,55
Punjab,2004,52,19,14,11,96
Rajasthan,2004,346,722,746,61,1875
Sikkim,2004,0,6,7,0,13
Tamil Nadu,2004,1553,645,145,30,2373
Tripura,2004,0,0,0,0,0
Uttar Pradesh,2004,60,39,29,7,135
Uttarakhand,2004,0,5,19,12,36
West Bengal,2004,21,44,28,0,93
Andaman & Nicobar Islands,2005,0,4,6,0,10
Andhra Pradesh,2005,988,839,463,138,2428
Arunachal Pradesh,2005,4,34,109,0,147
Assam,2005,140,120,94,19,373
Bihar,2005,95,72,142,28,337
Chandigarh,2005,54,41,17,4,116
Chhattisgarh,2005,888,1507,589,153,3137
Dadra & Nagar Haveli,2005,3,12,4,0,19
Daman & Diu,2005,0,0,1,0,1
Delhi,2005,458,331,394,67,1250
Goa,2005,32,14,12,8,66
Gujarat,2005,640,1298,596,214,2748
Haryana,2005,234,418,798,173,1623
Himachal Pradesh,2005,5,48,103,38,194
Jammu & Kashmir,2005,2,4,1,0,7
Jharkhand,2005,307,271,236,246,1060
Karnataka,2005,96,95,44,7,242
Kerala,2005,24,131,247,62,464
Lakshadweep,2005,0,1,0,0,1
Madhya Pradesh,2005,1553,2406,2003,416,6378
Maharashtra,2005,1153,2505,2270,375,6303
Manipur,2005,0,0,0,0,0
Meghalaya,2005,50,44,12,1,107
Mizoram,2005,50,238,104,21,413
Nagaland,2005,0,3,0,0,3
Odisha,2005,251,208,178,18,655
Puducherry,2005,0,17,25,0,42
Punjab,2005,50,41,33,11,135
Rajasthan,2005,517,767,608,66,1958
Sikkim,2005,0,15,9,0,24
Tamil Nadu,2005,979,811,319,39,2148
Tripura,2005,0,0,0,0,0
Uttar Pradesh,2005,34,34,36,11,115
Uttarakhand,2005,0,4,31,4,39
West Bengal,2005,53,61,24,0,138
Andaman & Nicobar Islands,2006,0,43,45,3,91
Andhra Pradesh,2006,783,681,313,102,1879
Arunachal Pradesh,2006,0,39,41,0,80
Assam,2006,211,151,123,54,539
Bihar,2006,87,73,79,0,239
Chandigarh,2006,36,30,34,7,107
Chhattisgarh,2006,326,752,724,251,2053
Dadra & Nagar Haveli,2006,1,4,4,0,9
Daman & Diu,2006,1,0,4,0,5
Delhi,2006,739,550,188,36,1513
Goa,2006,30,15,20,3,68
Gujarat,2006,677,1316,669,145,2807
Haryana,2006,264,450,851,147,1712
Himachal Pradesh,2006,2,12,67,47,128
Jammu & Kashmir,2006,0,0,5,3,8
Jharkhand,2006,384,230,207,41,862
Karnataka,2006,77,103,417,62,659
Kerala,2006,32,138,193,81,444
Lakshadweep,2006,0,0,0,0,0
Madhya Pradesh,2006,1770,2533,1955,556,6814
Maharashtra,2006,1028,3123,2143,364,6658
Manipur,2006,0,0,0,0,0
Meghalaya,2006,23,22,11,2,58
Mizoram,2006,5,66,18,0,89
Nagaland,2006,1,2,0,0,3
Odisha,2006,244,185,172,26,627
Puducherry,2006,6,31,0,0,37
Punjab,2006,45,66,30,18,159
Rajasthan,2006,350,1016,637,83,2086
Sikkim,2006,4,22,9,0,35
Tamil Nadu,2006,755,880,327,12,1974
Tripura,2006,0,0,0,0,0
Uttar Pradesh,2006,41,63,53,15,172
Uttarakhand,2006,25,33,37,11,106
West Bengal,2006,28,59,29,8,124
Andaman & Nicobar Islands,2007,0,40,32,3,75
Andhra Pradesh,2007,749,707,317,180,1953
Arunachal Pradesh,2007,20,46,39,0,105
Assam,2007,255,246,362,292,1155
Bihar,2007,491,349,592,37,1469
Chandigarh,2007,15,25,58,20,118
Chhattisgarh,2007,346,842,553,286,2027
Dadra & Nagar Haveli,2007,0,9,2,0,11
Daman & Diu,2007,3,0,0,11,14
Delhi,2007,490,270,170,40,970
Goa,2007,20,29,23,5,77
Gujarat,2007,520,1348,726,284,2878
Haryana,2007,214,515,945,166,1840
Himachal Pradesh,2007,5,8,75,57,145
Jammu & Kashmir,2007,3,2,3,7,15
Jharkhand,2007,161,185,109,54,509
Karnataka,2007,50,88,419,60,617
Kerala,2007,14,159,318,184,675
Lakshadweep,2007,0,0,0,0,0
Madhya Pradesh,2007,1752,2618,2231,749,7350
Maharashtra,2007,1236,3063,2045,492,6836
Manipur,2007,0,0,0,0,0
Meghalaya,2007,55,40,6,5,106
Mizoram,2007,0,32,59,0,91
Nagaland,2007,0,0,0,0,0
Odisha,2007,148,217,229,64,658
Puducherry,2007,5,57,0,0,62
Punjab,2007,44,41,29,15,129
Rajasthan,2007,539,743,699,143,2124
Sikkim,2007,38,48,8,0,94
Tamil Nadu,2007,639,680,394,8,1721
Tripura,2007,1,1,0,0,2
Uttar Pradesh,2007,56,171,102,98,427
Uttarakhand,2007,6,32,34,57,129
West Bengal,2007,51,48,41,5,145
Andaman & Nicobar Islands,2008,0,7,36,12,55
Andhra Pradesh,2008,655,554,326,87,1622
Arunachal Pradesh,2008,14,28,43,0,85
Assam,2008,330,259,54,1,644
Bihar,2008,395,377,388,84,1244
Chandigarh,2008,38,36,75,13,162
Chhattisgarh,2008,1341,727,743,235,3046
Dadra & Nagar Haveli,2008,2,6,6,8,22
Daman & Diu,2008,3,0,8,0,11
Delhi,2008,222,190,74,37,523
Goa,2008,11,19,27,10,67
Gujarat,2008,453,1396,678,172,2699
Haryana,2008,154,519,882,244,1799
Himachal Pradesh,2008,11,30,77,45,163
Jammu & Kashmir,2008,3,5,4,0,12
Jharkhand,2008,335,150,57,7,549
Karnataka,2008,162,181,95,77,515
Kerala,2008,13,176,373,214,776
Lakshadweep,2008,0,0,0,0,0
Madhya Pradesh,2008,1735,2788,1977,608,7108
Maharashtra,2008,1551,2570,2375,523,7019
Manipur,2008,0,0,0,0,0
Meghalaya,2008,28,54,55,2,139
Mizoram,2008,0,18,47,5,70
Nagaland,2008,0,0,0,0,0
Odisha,2008,257,269,207,40,773
Puducherry,2008,0,38,13,4,55
Punjab,2008,26,29,29,29,113
Rajasthan,2008,532,937,754,129,2352
Sikkim,2008,7,26,4,0,37
Tamil Nadu,2008,653,674,238,28,1593
Tripura,2008,21,8,7,7,43
Uttar Pradesh,2008,45,129,133,40,347
Uttarakhand,2008,49,45,30,33,157
West Bengal,2008,23,299,257,128,707
Andaman & Nicobar Islands,2009,0,14,22,2,38
Andhra Pradesh,2009,513,521,367,164,1565
Arunachal Pradesh,2009,14,50,67,8,139
Assam,2009,109,167,210,77,563
Bihar,2009,307,360,328,71,1066
Chandigarh,2009,23,34,46,32,135
Chhattisgarh,2009,842,920,1063,287,3112
Dadra & Nagar Haveli,2009,8,6,4,8,26
Daman & Diu,2009,0,2,0,1,3
Delhi,2009,199,160,167,60,586
Goa,2009,22,19,30,5,76
Gujarat,2009,386,1154,758,168,2466
Haryana,2009,137,455,579,203,1374
Himachal Pradesh,2009,1,41,72,56,170
Jammu & Kashmir,2009,0,4,2,5,11
Jharkhand,2009,343,307,102,36,788
Karnataka,2009,54,82,88,58,282
Kerala,2009,13,135,345,214,707
Lakshadweep,2009,0,0,0,0,0
Madhya Pradesh,2009,1310,2041,1910,925,6186
Maharashtra,2009,768,2768,2544,892,6972
Manipur,2009,0,0,0,0,0
Meghalaya,2009,14,46,27,1,88
Mizoram,2009,0,2,8,10,20
Nagaland,2009,2,6,12,0,20
Odisha,2009,83,148,213,39,483
Puducherry,2009,27,54,0,0,81
Punjab,2009,62,67,57,47,233
Rajasthan,2009,503,906,818,229,2456
Sikkim,2009,12,30,18,0,60
Tamil Nadu,2009,1727,772,370,52,2921
Tripura,2009,22,60,9,0,91
Uttar Pradesh,2009,113,176,146,40,475
Uttarakhand,2009,130,62,32,30,254
West Bengal,2009,37,84,47,27,195
Andaman & Nicobar Islands,2010,1,19,5,1,26
Andhra Pradesh,2010,767,646,421,115,1949
Arunachal Pradesh,2010,0,14,32,35,81
Assam,2010,225,125,26,9,385
Bihar,2010,241,188,263,50,742
Chandigarh,2010,24,63,48,33,168
Chhattisgarh,2010,442,1073,739,102,2356
Dadra & Nagar Haveli,2010,2,9,8,0,19
Daman & Diu,2010,4,2,3,1,10
Delhi,2010,154,235,204,34,627
Goa,2010,19,15,37,6,77
Gujarat,2010,341,942,662,176,2121
Haryana,2010,79,246,443,139,907
Himachal Pradesh,2010,6,28,92,92,218
Jammu & Kashmir,2010,2,7,15,3,27
Jharkhand,2010,47,42,10,5,104
Karnataka,2010,63,69,35,37,204
Kerala,2010,38,178,348,262,826
Lakshadweep,2010,0,0,0,0,0
Madhya Pradesh,2010,1696,2296,1941,516,6449
Maharashtra,2010,810,2492,2224,862,6388
Manipur,2010,0,0,0,0,0
Meghalaya,2010,43,48,24,3,118
Mizoram,2010,3,40,73,0,116
Nagaland,2010,3,12,30,8,53
Odisha,2010,195,145,164,40,544
Puducherry,2010,0,49,0,0,49
Punjab,2010,81,83,53,29,246
Rajasthan,2010,322,817,960,279,2378
Sikkim,2010,4,33,43,2,82
Tamil Nadu,2010,445,696,455,48,1644
Tripura,2010,35,6,5,0,46
Uttar Pradesh,2010,166,278,308,100,852
Uttarakhand,2010,51,71,31,1,154
West Bengal,2010,30,119,153,35,337
